Team_A,Team_B,Score_A,Score_B,Winner
Orlando Magic,Brooklyn Nets,100,92,Orlando Magic
Indiana Pacers,Memphis Grizzlies,121,136,Memphis Grizzlies
Boston Celtics,Cleveland Cavaliers,111,115,Cleveland Cavaliers
New Orleans Pelicans,New York Knicks,85,118,New York Knicks
Miami Heat,Toronto Raptors,116,119,Toronto Raptors
Oklahoma City Thunder,Houston Rockets,116,119,Houston Rockets
Los Angeles Lakers,Utah Jazz,105,104,Los Angeles Lakers
Dallas Mavericks,Portland Trail Blazers,137,131,Dallas Mavericks
San Antonio Spurs,Sacramento Kings,127,125,San Antonio Spurs
Denver Nuggets,Los Angeles Clippers,122,126,Los Angeles Clippers
New Orleans Pelicans,Atlanta Hawks,112,124,Atlanta Hawks
Miami Heat,Boston Celtics,89,108,Boston Celtics
Brooklyn Nets,Chicago Bulls,102,128,Chicago Bulls
Los Angeles Lakers,Minnesota Timberwolves,80,109,Minnesota Timberwolves
Philadelphia 76ers,Charlotte Hornets,110,104,Philadelphia 76ers
Washington Wizards,Cleveland Cavaliers,87,118,Cleveland Cavaliers
Milwaukee Bucks,Detroit Pistons,128,107,Milwaukee Bucks
Orlando Magic,New York Knicks,106,121,New York Knicks
Indiana Pacers,Toronto Raptors,111,122,Toronto Raptors
Utah Jazz,Oklahoma City Thunder,106,133,Oklahoma City Thunder
Memphis Grizzlies,Dallas Mavericks,116,121,Dallas Mavericks
San Antonio Spurs,Phoenix Suns,93,104,Phoenix Suns
Golden State Warriors,Denver Nuggets,115,119,Denver Nuggets
Houston Rockets,Sacramento Kings,111,120,Sacramento Kings
Portland Trail Blazers,Los Angeles Clippers,105,127,Los Angeles Clippers
Detroit Pistons,Boston Celtics,120,130,Boston Celtics
Indiana Pacers,Brooklyn Nets,90,99,Brooklyn Nets
Los Angeles Lakers,Miami Heat,93,134,Miami Heat
Orlando Magic,Philadelphia 76ers,106,102,Orlando Magic
Atlanta Hawks,Milwaukee Bucks,119,104,Atlanta Hawks
Minnesota Timberwolves,Los Angeles Clippers,108,80,Minnesota Timberwolves
Denver Nuggets,Cleveland Cavaliers,114,126,Cleveland Cavaliers
Dallas Mavericks,Washington Wizards,137,101,Dallas Mavericks
Charlotte Hornets,New York Knicks,101,125,New York Knicks
Oklahoma City Thunder,Toronto Raptors,129,92,Oklahoma City Thunder
Sacramento Kings,Memphis Grizzlies,110,115,Memphis Grizzlies
Phoenix Suns,New Orleans Pelicans,124,126,New Orleans Pelicans
Chicago Bulls,San Antonio Spurs,139,124,Chicago Bulls
Houston Rockets,Golden State Warriors,93,99,Golden State Warriors
Orlando Magic,Philadelphia 76ers,94,102,Philadelphia 76ers
Los Angeles Lakers,Atlanta Hawks,132,134,Atlanta Hawks
Milwaukee Bucks,Boston Celtics,105,111,Boston Celtics
Indiana Pacers,Chicago Bulls,132,123,Indiana Pacers
Sacramento Kings,San Antonio Spurs,140,113,Sacramento Kings
Minnesota Timberwolves,Golden State Warriors,107,90,Minnesota Timberwolves
Utah Jazz,Portland Trail Blazers,141,99,Utah Jazz
Cleveland Cavaliers,Charlotte Hornets,116,102,Cleveland Cavaliers
Denver Nuggets,Washington Wizards,113,122,Washington Wizards
Oklahoma City Thunder,New Orleans Pelicans,119,109,Oklahoma City Thunder
Detroit Pistons,New York Knicks,120,111,Detroit Pistons
Dallas Mavericks,Toronto Raptors,125,118,Dallas Mavericks
Memphis Grizzlies,Boston Celtics,127,121,Memphis Grizzlies
Phoenix Suns,Miami Heat,111,121,Miami Heat
Philadelphia 76ers,Chicago Bulls,108,100,Philadelphia 76ers
Milwaukee Bucks,Brooklyn Nets,118,113,Milwaukee Bucks
Charlotte Hornets,Indiana Pacers,113,109,Charlotte Hornets
Denver Nuggets,Atlanta Hawks,141,111,Denver Nuggets
Cleveland Cavaliers,Miami Heat,113,122,Miami Heat
Phoenix Suns,Orlando Magic,110,115,Orlando Magic
Memphis Grizzlies,Washington Wizards,140,112,Memphis Grizzlies
New Orleans Pelicans,San Antonio Spurs,116,121,San Antonio Spurs
Minnesota Timberwolves,Golden State Warriors,106,114,Golden State Warriors
Houston Rockets,Los Angeles Clippers,117,106,Houston Rockets
Utah Jazz,Sacramento Kings,97,141,Sacramento Kings
Portland Trail Blazers,Los Angeles Lakers,98,107,Los Angeles Lakers
New York Knicks,Toronto Raptors,113,108,New York Knicks
Orlando Magic,Milwaukee Bucks,109,114,Milwaukee Bucks
Dallas Mavericks,Oklahoma City Thunder,104,118,Oklahoma City Thunder
Atlanta Hawks,New York Knicks,108,100,Atlanta Hawks
Golden State Warriors,Houston Rockets,90,91,Houston Rockets
Detroit Pistons,Boston Celtics,99,123,Boston Celtics
Toronto Raptors,Miami Heat,104,114,Miami Heat
Sacramento Kings,New Orleans Pelicans,111,109,Sacramento Kings
Washington Wizards,Cleveland Cavaliers,105,115,Cleveland Cavaliers
Indiana Pacers,Philadelphia 76ers,121,107,Indiana Pacers
Los Angeles Lakers,Minnesota Timberwolves,87,97,Minnesota Timberwolves
Brooklyn Nets,Memphis Grizzlies,119,135,Memphis Grizzlies
Charlotte Hornets,Chicago Bulls,95,109,Chicago Bulls
Los Angeles Clippers,Denver Nuggets,98,120,Denver Nuggets
Phoenix Suns,Utah Jazz,134,126,Phoenix Suns
San Antonio Spurs,Portland Trail Blazers,118,116,San Antonio Spurs
Atlanta Hawks,Milwaukee Bucks,102,110,Milwaukee Bucks
Houston Rockets,Oklahoma City Thunder,96,111,Oklahoma City Thunder
New Orleans Pelicans,Indiana Pacers,104,119,Indiana Pacers
Boston Celtics,Washington Wizards,112,98,Boston Celtics
Minnesota Timberwolves,San Antonio Spurs,106,92,Minnesota Timberwolves
Portland Trail Blazers,Phoenix Suns,109,116,Phoenix Suns
Memphis Grizzlies,Los Angeles Lakers,110,116,Los Angeles Lakers
New York Knicks,Orlando Magic,100,91,New York Knicks
Dallas Mavericks,Golden State Warriors,143,133,Dallas Mavericks
Miami Heat,Detroit Pistons,124,125,Detroit Pistons
Philadelphia 76ers,Charlotte Hornets,121,108,Philadelphia 76ers
Chicago Bulls,Toronto Raptors,122,121,Chicago Bulls
Cleveland Cavaliers,Brooklyn Nets,130,101,Cleveland Cavaliers
Denver Nuggets,Sacramento Kings,130,129,Denver Nuggets
Utah Jazz,Los Angeles Clippers,107,144,Los Angeles Clippers
Milwaukee Bucks,Oklahoma City Thunder,97,81,Milwaukee Bucks
Utah Jazz,Detroit Pistons,126,119,Utah Jazz
Oklahoma City Thunder,Orlando Magic,105,99,Oklahoma City Thunder
Charlotte Hornets,Washington Wizards,114,123,Washington Wizards
Chicago Bulls,Boston Celtics,117,108,Chicago Bulls
Brooklyn Nets,Toronto Raptors,101,94,Brooklyn Nets
New Orleans Pelicans,Houston Rockets,113,133,Houston Rockets
Golden State Warriors,Memphis Grizzlies,93,144,Memphis Grizzlies
New York Knicks,Minnesota Timberwolves,133,107,New York Knicks
Los Angeles Clippers,Dallas Mavericks,118,95,Los Angeles Clippers
Indiana Pacers,Phoenix Suns,120,111,Indiana Pacers
Atlanta Hawks,San Antonio Spurs,126,133,San Antonio Spurs
Denver Nuggets,Portland Trail Blazers,124,126,Portland Trail Blazers
Los Angeles Lakers,Sacramento Kings,113,100,Los Angeles Lakers
Charlotte Hornets,Philadelphia 76ers,98,108,Philadelphia 76ers
Milwaukee Bucks,Cleveland Cavaliers,101,124,Cleveland Cavaliers
Oklahoma City Thunder,Miami Heat,104,97,Oklahoma City Thunder
Los Angeles Lakers,Sacramento Kings,103,99,Los Angeles Lakers
Miami Heat,Orlando Magic,114,121,Orlando Magic
Memphis Grizzlies,Atlanta Hawks,128,112,Memphis Grizzlies
Utah Jazz,Brooklyn Nets,105,94,Utah Jazz
Philadelphia 76ers,Cleveland Cavaliers,99,126,Cleveland Cavaliers
Boston Celtics,Chicago Bulls,123,98,Boston Celtics
Washington Wizards,Milwaukee Bucks,101,112,Milwaukee Bucks
Golden State Warriors,Minnesota Timberwolves,113,103,Golden State Warriors
New York Knicks,New Orleans Pelicans,104,93,New York Knicks
Los Angeles Clippers,Dallas Mavericks,97,113,Los Angeles Clippers
Portland Trail Blazers,San Antonio Spurs,94,114,San Antonio Spurs
Detroit Pistons,Phoenix Suns,133,125,Detroit Pistons
Houston Rockets,Toronto Raptors,114,110,Houston Rockets
Indiana Pacers,Sacramento Kings,122,95,Indiana Pacers
Denver Nuggets,New Orleans Pelicans,132,129,Denver Nuggets
